id,program_name,provider,cost_description,eligibility_description,schedule_description,delivery_note
P001,제빵 기초,느티나무복지관,무료(교통비 개인 부담),제한 없음,야간 주 2회,온라인
P002,여행 중국어,은현도서관,상담 후 안내,관내 거주자,격주 토요일,대면·온라인 병행
P003,민화 그리기,고운뜰주민자치센터,16만원(재료비 별도),제한 없음,주중 매일,온라인
P004,생활법률 상식,푸른숲평생교육원,미정,만 60세 이상,평일 오후,대면·온라인 병행
P005,스트레칭 교실,푸른숲평생교육원,"구민 무료, 타지역 5만원",만 60세 이상,평일 오후,온라인
P006,여행사진 교실,한빛평생학습관,월 5만원,만 19세 이상,토요일 오후,온라인
P007,아크릴화 교실,열린배움터,별도 안내 예정,자격 무관,평일 오전,대면·온라인 병행
P008,시니어 토론교실,다솜문화센터,"기초생활수급자 무료, 일반 4만원",제한 없음,주 2회 저녁,온라인
P009,실버 영화감상반,느티나무복지관,"수강료 무료, 실습재료 개인 구매",재직자 우선,야간 주 2회,온라인
P010,영어 팝송 교실,새길기술교육원,저소득층 무료,만 19세 이상,주 1회 오전,대면·온라인 병행
P011,디지털사진 정리,은현도서관,"무료, 도구 대여료 5천원 별도",초보자 대상,격주 토요일,온라인
P012,한식 조리 기초,은현도서관,"수강료 면제, 인증서 발급비 1만원",초보자 대상,격주 토요일,대면·온라인 병행
P013,캘리그라피 입문,새길기술교육원,무료 진행,관내 거주자,주 1회 오전,온라인
P014,자서전 쓰기,푸른숲평생교육원,문의,제한 없음(선착순),평일 오후,대면·온라인 병행
P015,압화 공예,새길기술교육원,6만원,관내 거주자,주 1회 오전,대면·온라인 병행
P016,가죽공예 기초,한빛평생학습관,무료(수료증 발급비 실비),성인 누구나,토요일 오후,대면
P017,관절운동 교실,푸른숲평생교육원,전액 무료(자격증 응시료 본인 부담),제한 없음,평일 오후,온라인
P018,탁구 기초,열린배움터,비용 없음,만 19세 이상,평일 오전,대면·온라인 병행
P019,자개공예 기초,느티나무복지관,"수강료 무료, 재료비 실비 부담",경력자 우대,야간 주 2회,대면
P020,걷기운동 교실,다솜문화센터,3만원,경력자 우대,주 2회 저녁,온라인
P021,문인화 교실,푸른숲평생교육원,17만원(재료비 포함),경력자 우대,평일 오후,대면
P022,사진보정 기초,한빛평생학습관,무료 강좌(수료증 발급비 5천원),자격 무관,토요일 오후,대면·온라인 병행
P023,스페인어 기초,고운뜰주민자치센터,0원(교재 별도 구매),재직자 우선,주중 매일,대면·온라인 병행
P024,흑백사진 교실,푸른숲평생교육원,국가기간전략산업 직종 전액 지원,재직자 우선,평일 오후,대면
P025,국민연금 이해하기,새길기술교육원,무료(교재 포함),관내 거주자,주 1회 오전,대면
P026,키오스크 사용법,푸른숲평생교육원,7만원(교재비 포함),경력자 우대,평일 오후,온라인
P027,스마트폰 활용,한빛평생학습관,12만원,초보자 대상,토요일 오후,대면
P028,우드카빙,고운뜰주민자치센터,,제한 없음,주중 매일,대면
P029,전통 병과 만들기,다솜문화센터,보증금 3만원(전액 환급),제한 없음(선착순),주 2회 저녁,온라인
P030,매듭공예,다솜문화센터,선착순 20명 무료(초과 시 6만원),경력자 우대,주 2회 저녁,대면
P031,캘리그라피 소품,열린배움터,무료(중식 미제공),관내 거주자,평일 오전,대면·온라인 병행
P032,밑반찬 만들기,한빛평생학습관,"수강료 무료, 현장 실습비 별도",관내 거주자,토요일 오후,온라인
P033,명상과 마음챙김,다솜문화센터,0원,제한 없음(선착순),주 2회 저녁,대면
P034,수중운동 교실,다솜문화센터,,제한 없음,주 2회 저녁,대면
P035,정원설계 기초,고운뜰주민자치센터,,만 60세 이상,주중 매일,대면
P036,정보검색 기초,느티나무복지관,회당 1만5천원,만 60세 이상,야간 주 2회,대면
P037,생활목공 기초,한빛평생학습관,수강료 0원,자격 무관,토요일 오후,온라인
P038,허브 재배,한빛평생학습관,차상위계층 면제,성인 누구나,토요일 오후,온라인
P039,종이접기 공예,새길기술교육원,수강료 없음,자격 무관,주 1회 오전,대면·온라인 병행
P040,필라테스 기초,다솜문화센터,수강비 없음,제한 없음(선착순),주 2회 저녁,대면·온라인 병행
